시설명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,설치년도,설치목적,데이터기준일자,제공기관코드,제공기관명
중앙1배수장,경기도,동두천시,,경기도 동두천시 생연동 580-6,37.9118240181,127.0542995402,,2012,도시침수방지,2024-08-30,3920000,경기도 동두천시
중앙2배수장,경기도,동두천시,경기도 동두천시 강변로430번길 7,경기도 동두천시 생연동 826-1,37.9075930478,127.0513922938,,2013,도시침수방지,2024-08-30,3920000,경기도 동두천시
중앙3배수장,경기도,동두천시,,경기도 동두천시 생연동 818-49,37.9047255460,127.0509721440,,2014,도시침수방지,2024-08-30,3920000,경기도 동두천시
보산1배수장,경기도,동두천시,,경기도 동두천시 보산동 431-58,37.9162291304,127.0560372690,,2018,도시침수방지,2024-08-30,3920000,경기도 동두천시
보산2배수장,경기도,동두천시,경기도 동두천시 상패로 210-27,경기도 동두천시 보산동 431-36,37.9166536159,127.0558196379,,2012,도시침수방지,2024-08-30,3920000,경기도 동두천시
소요1배수장,경기도,동두천시,,경기도 동두천시 동두천동 531-48,37.9228608483,127.0517677980,,2014,도시침수방지,2024-08-30,3920000,경기도 동두천시
소요2배수장,경기도,동두천시,,경기도 동두천시 하봉암동 324-1,37.9579476478,127.0611374088,,2014,도시침수방지,2024-08-30,3920000,경기도 동두천시
소요3배수장,경기도,동두천시,,경기도 동두천시 하봉암동 92-27,37.9708301067,127.0644112477,,2012,도시침수방지,2024-08-30,3920000,경기도 동두천시
상패1배수장,경기도,동두천시,경기도 동두천시 상패로189번길 11,경기도 동두천시 상패동 2-29,37.9171874630,127.0530074999,,2012,도시침수방지,2024-08-30,3920000,경기도 동두천시
상패2배수장,경기도,동두천시,경기도 동두천시 상패로168번길 12,경기도 동두천시 상패동 9-92,37.9152814378,127.0543718245,,2016,도시침수방지,2024-08-30,3920000,경기도 동두천시
상패3배수장,경기도,동두천시,경기도 동두천시 상패로 112-23,경기도 동두천시 상패동 20-10,37.9111173030,127.0511045420,,2016,도시침수방지,2024-08-30,3920000,경기도 동두천시
상패4배수장,경기도,동두천시,경기도 동두천시 동광로 10-20,경기도 동두천시 상패동 56-7,37.9074630441,127.0488475926,,2012,도시침수방지,2024-08-30,3920000,경기도 동두천시
영춘배수펌프장,충청북도,단양군,충청북도 단양군 영춘면 온달평강로 25,,37.0757625756,128.4849471854,043-420-2874,2003,영춘면 침수 방지,2024-08-19,4480000,충청북도 단양군
서둔동 배수펌프장,경기도,수원시,경기도 수원시 권선구 벌터로23번길 72 (서둔동),경기도 수원시 권선구 서둔동 26-37번지,37.26182794,126.9902926,031-228-6513,2001,침수방지용,2024-08-16,3740000,경기도 수원시
평동 배수펌프장,경기도,수원시,경기도 수원시 권선구 매송고색로825번길 20 (평동),경기도 수원시 권선구 평동 45-20번지,37.2557809,126.9934631,031-228-6513,2001,침수방지용,2024-08-16,3740000,경기도 수원시
산업1단지 배수펌프장,경기도,수원시,경기도 수원시 권선구 오목천로 96 (고색동),경기도 수원시 권선구 고색동 980번지,37.24105559,126.9731411,031-228-6513,2005,침수방지용,2024-08-16,3740000,경기도 수원시
산업3단지 방류펌프장,경기도,수원시,,경기도 수원시 권선구 고색동 783-2번지,37.234604,126.984542,031-228-6513,2013,침수방지용,2024-08-16,3740000,경기도 수원시
먼내마을 배수펌프장,경기도,수원시,,경기도 수원시 영통구 원천동 464-6,37.26941137,127.0602172,031-228-8979,2010,침수방지용,2024-08-16,3740000,경기도 수원시
신동1 배수펌프장,경기도,수원시,,경기도 수원시 영통구 신동 644-14,37.2508932,127.0425317,031-228-8979,2001,침수방지용,2024-08-16,3740000,경기도 수원시
오감배수장,경상남도,의령군,,경상남도 의령군 의령읍 대산리 777,35.2778520818,128.2853434465,055-570-3624,2001,침수방지,2024-08-21,5390000,경상남도 의령군
오감2배수장,경상남도,의령군,,경상남도 의령군 의령읍 대산리 762-2,35.2790869851,128.2869742857,055-570-3624,2013,침수방지,2024-08-21,5390000,경상남도 의령군
만하배수장,경상남도,의령군,,경상남도 의령군 의령읍 만천리 294-1,35.2995618626,128.2862911850,055-570-3624,2012,침수방지,2024-08-21,5390000,경상남도 의령군
삼정배수장,경상남도,의령군,,경상남도 의령군 화정면 상일리 898-6,35.2618499971,128.2261147585,055-570-3624,2013,침수방지,2024-08-21,5390000,경상남도 의령군
호미배수장,경상남도,의령군,,경상남도 의령군 정곡면 죽전리 105-3,35.3637034169,128.3327354423,055-570-3624,2008,침수방지,2024-08-21,5390000,경상남도 의령군
성당배수장,경상남도,의령군,,경상남도 의령군 지정면 성당리 650-2,35.3611162439,128.3840309468,055-570-3624,1986,침수방지,2024-08-21,5390000,경상남도 의령군
포외배수장,경상남도,의령군,,경상남도 의령군 지정면 마산리 산200-1,35.3742119034,128.4186712795,055-570-3624,2004,침수방지,2024-08-21,5390000,경상남도 의령군
백야(독대)배수장,경상남도,의령군,,경상남도 의령군 지정면 백야리 12-2,35.3602237717,128.3827296160,055-570-3624,2004,침수방지,2024-08-21,5390000,경상남도 의령군
다안배수장,경상남도,의령군,,경상남도 의령군 지정면 백야리 87,35.3561318187,128.3807652870,055-570-3624,2003,침수방지,2024-08-21,5390000,경상남도 의령군
아근배수장,경상남도,의령군,,경상남도 의령군 낙서면 아근리 5-1,35.5100737906,128.3844734298,055-570-3624,2002,침수방지,2024-08-21,5390000,경상남도 의령군
상포배수장,경상남도,의령군,,경상남도 의령군 낙서면 아근리 477,35.5101790029,128.3716639130,055-570-3624,2005,침수방지,2024-08-21,5390000,경상남도 의령군
부곡배수장,경상남도,의령군,,경상남도 의령군 낙서면 전화리 999,35.4591724372,128.3756430672,055-570-3624,2004,침수방지,2024-08-21,5390000,경상남도 의령군
여의배수장,경상남도,의령군,,경상남도 의령군 낙서면 여의리 502,35.4716141776,128.3742024502,055-570-3624,2002,침수방지,2024-08-21,5390000,경상남도 의령군
박진배수장,경상남도,의령군,,경상남도 의령군 부림면 경산리 697,35.4392997690,128.3750968972,055-570-3624,2004,침수방지,2024-08-21,5390000,경상남도 의령군
박진2배수장,경상남도,의령군,,경상남도 의령군 부림면 경산리 672,35.4401765614,128.3743893202,055-570-3624,2024,침수방지,2024-08-21,5390000,경상남도 의령군
손오배수장,경상남도,의령군,,경상남도 의령군 부림면 손오리 395-1,35.4729736432,128.3583144469,055-570-3624,2014,침수방지,2024-08-21,5390000,경상남도 의령군
홍도지하보도,대전광역시,동구,,대전광역시 동구 홍도동 825,36.3460817708,127.4235305975,042-251-4877,2015,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
동산지하차도,대전광역시,동구,,대전광역시 동구 홍도동 162-6,36.3463932698,127.4236633095,042-251-4877,2014,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
현암지하보도,대전광역시,동구,,대전광역시 동구 홍도동 22-5,36.3447165669,127.4252354047,042-251-4877,2015,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
동산천배수펌프장,대전광역시,동구,,대전광역시 동구 성남동 236-8,36.3434466035,127.4250598097,042-251-4877,1987,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
홍도지하차도,대전광역시,동구,,대전광역시 동구 삼성동 369-15,36.3430563842,127.4245050688,042-251-4877,2021,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
성남지하차도,대전광역시,동구,,대전광역시 동구 성남동 223-55,36.3415122744,127.4290871914,042-251-4877,2015,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
삼성지하차도,대전광역시,동구,,대전광역시 동구 삼성동 465-6,36.3391807282,127.4304557861,042-251-4877,2016,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
정동지하차도,대전광역시,동구,,대전광역시 동구 삼성동 104-89,36.3367208363,127.4326395872,042-251-4877,2017,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
대전역지하차도,대전광역시,동구,,대전광역시 동구 소제동 291-7,36.3329119237,127.4370680869,042-251-4877,2005,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
원동지하차도,대전광역시,동구,,대전광역시 동구 신안동 302-18,36.3270899047,127.4373223553,042-251-4877,2015,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
대동지하차도,대전광역시,동구,,대전광역시 동구 대동 138-24,36.3295450541,127.4428845934,042-251-4877,2003,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
신흥지하차도,대전광역시,동구,,대전광역시 동구 인동 123,36.3237633574,127.4384700765,042-251-4877,2016,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
인동지하차도,대전광역시,동구,,대전광역시 동구 인동 352-5,36.3231229701,127.4385917023,042-251-4877,2016,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
효동지하차도,대전광역시,동구,,대전광역시 동구 신흥동 46-13,36.3193149619,127.4439071968,042-251-4877,2015,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
천동지하차도,대전광역시,동구,,대전광역시 동구 천동 500-8,36.3193756447,127.4459418225,042-251-4877,2016,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
소정지하차도,대전광역시,동구,,대전광역시 동구 판암동 157-3,36.3157249828,127.4679880371,042-251-4877,2016,가도교 침수피해 예방운영,2024-08-09,3640000,대전광역시 동구
포남빗물펌프장,강원특별자치도,강릉시,강원특별자치도 강릉시 강변북길 145,강원특별자치도 강릉시 포남동 1005-221,37.765836,128.912167,033-640-5981,2005,침수방지,2024-08-13,4201000,강원특별자치도 강릉시
포남빗물펌프장증설동,강원특별자치도,강릉시,강원특별자치도 강릉시 강변북길 145,강원특별자치도 강릉시 포남동 1005-221,37.765836,128.912167,033-640-5981,2022,침수방지,2024-08-13,4201000,강원특별자치도 강릉시
유천배수펌프장,전북특별자치도,익산시,,전북특별자치도 익산시 석탄동 1016-50,35.9137936735,126.9503768586,,2000,침수방지용,2024-08-14,4681000,전북특별자치도 익산시
목천배수펌프장,전북특별자치도,익산시,,전북특별자치도 익산시 목천동 1355-9,35.914528,126.937431,,1988,침수방지용,2024-08-14,4681000,전북특별자치도 익산시
목천소배수펌프장,전북특별자치도,익산시,,전북특별자치도 익산시 목천리 1177-8,35.913776,126.931576,,1988,침수방지용,2024-08-14,4681000,전북특별자치도 익산시
고잔배수펌프장,전북특별자치도,익산시,,전북특별자치도 익산시 평화동 318-44,35.9227037758,126.9408017,,2010,침수방지용,2024-08-14,4681000,전북특별자치도 익산시
신천배수펌프장,전북특별자치도,익산시,,전북특별자치도 익산시 석탄동 1070-37,35.9210898,126.9540349,,2011,침수방지용,2024-08-14,4681000,전북특별자치도 익산시
인수리배수펌프장,전북특별자치도,익산시,,전북특별자치도 익산시 오산리 30-2,35.9259828,127.0356523,,1998,침수방지용,2024-08-14,4681000,전북특별자치도 익산시
대장배수펌프장,전북특별자치도,익산시,,전북특별자치도 익산시 춘포리 988-11,35.897741,127.006341,,2011,침수방지용,2024-08-14,4681000,전북특별자치도 익산시
연동배수펌프장,전북특별자치도,익산시,전북특별자치도 익산시 현내로 245-4,전북특별자치도 익산시 부곡리 41,36.1085936,126.9430837,,2003,침수방지용,2024-08-14,4681000,전북특별자치도 익산시
성당배수펌프장,전북특별자치도,익산시,,전북특별자치도 익산시 성당리 238-1,36.133166,126.919413,,2003,침수방지용,2024-08-14,4681000,전북특별자치도 익산시
관동,전라남도,해남군,전라남도 해남군 화산면 좌일길 206,전라남도 해남군 화산면 석호리 1253-1,34.4617056283,126.4708113635,061-530-5486,2021,침수방지,2024-08-16,4930000,전라남도 해남군
신월 1,전라남도,해남군,전라남도 해남군 북일면 갈두길 181-53,전라남도 해남군 북일면 금당리 12-11,34.4340548264,126.6875243288,061-530-5486,2007,침수방지,2024-08-16,4930000,전라남도 해남군
신월 2,전라남도,해남군,,전라남도 해남군 북일면 방산리 873-6,34.4348877899,126.6887337493,061-530-5486,2007,침수방지,2024-08-16,4930000,전라남도 해남군
선두,전라남도,해남군,,전라남도 해남군 문내면 선두리 371-27,34.5878728388,126.3129331099,061-530-5486,2019,침수방지,2024-08-16,4930000,전라남도 해남군
매월,전라남도,해남군,전라남도 해남군 화원면 조선소길 637,전라남도 해남군 화원면 구림리 570,34.7474728043,126.3077261000,061-530-5486,2017,침수방지,2024-08-16,4930000,전라남도 해남군
산소,전라남도,해남군,전라남도 해남군 황산면 산소길 86-24,전라남도 해남군 황산면 한자리 774,34.5456191769,126.4340247161,061-530-5486,2023,침수방지,2024-08-16,4930000,전라남도 해남군
화봉,전라남도,해남군,,전라남도 해남군 화원면 화봉리 513-10,34.6620557441,126.2603409122,061-530-5486,2017,침수방지,2024-08-16,4930000,전라남도 해남군
후산,전라남도,해남군,,전라남도 해남군 화원면 후산리 953-78,34.7159969565,126.2808313775,061-530-5486,2017,침수방지,2024-08-16,4930000,전라남도 해남군
한자,전라남도,해남군,,전라남도 해남군 황산면 한자리 23-36,34.5360728394,126.4512130790,061-530-5486,2020,침수방지,2024-08-16,4930000,전라남도 해남군
향로배수펌프장,강원특별자치도,동해시,,강원특별자치도 동해시 발한동 80-108,37.54305811,129.1113119,033-530-2455,2004,"태풍,집중호우 재해예방",2024-08-16,4211000,강원특별자치도 동해시
석정1-2 배수펌프장,충청남도,아산시,,충청남도 아산시 염치읍 석정리 52-6,36.7986531033,127.0002162966,,1992,복합,2024-08-01,4520000,충청남도 아산시
염성 배수펌프장,충청남도,아산시,,충청남도 아산시 염치읍 염성리 252-40,36.8126434216,126.9673447206,,2012,복합,2024-08-01,4520000,충청남도 아산시
송곡 배수펌프장,충청남도,아산시,,충청남도 아산시 염치읍 석정리 79-6,36.7985126446,127.0059736414,,2015,복합,2024-08-01,4520000,충청남도 아산시
구령 배수펌프장,충청남도,아산시,,충청남도 아산시 탕정면 갈산리 745-79,36.7886930314,127.0533490760,,2016,복합,2024-08-01,4520000,충청남도 아산시
권곡 배수펌프장,충청남도,아산시,,충청남도 아산시 권곡동 153-1,36.7961384461,127.0137486470,,2019,복합,2024-08-01,4520000,충청남도 아산시
경안배수펌프장,경기도,광주시,경기도 광주시 파발로 51,,37.4113436513,127.2618330409,,1998,침수예방,2024-08-14,5540000,경기도 광주시
장지배수펌프장,경기도,광주시,경기도 광주시 포은대로 706,,37.3886016995,127.2460331,,2012,침수예방,2024-08-14,5540000,경기도 광주시
고산배수펌프장,경기도,광주시,,경기도 광주시 고산동 6-14,37.3784007623,127.2448227089,,2009,침수예방,2024-08-14,5540000,경기도 광주시
곤지암1배수펌프장,경기도,광주시,경기도 광주시 곤지암읍 곤지암로 70-36,,37.3509043846,127.3374213285,,2016,침수예방,2024-08-14,5540000,경기도 광주시
무갑리배수펌프장,경기도,광주시,,경기도 광주시 초월읍 무갑리 699,37.4273619,127.3057950713,,2003,침수예방,2024-08-14,5540000,경기도 광주시
서하1배수펌프장,경기도,광주시,,경기도 광주시 초월읍 서하리 1002-1,37.4297243,127.3087809,,2003,침수예방,2024-08-14,5540000,경기도 광주시
서하2배수펌프장,경기도,광주시,,경기도 광주시 초월읍 서하리 946-3,37.4321672,127.3118075,,2003,침수예방,2024-08-14,5540000,경기도 광주시
서하3배수펌프장,경기도,광주시,,경기도 광주시 초월읍 서하리 946-3,37.4321840257,127.3118102182,,2007,침수예방,2024-08-14,5540000,경기도 광주시
송정배수펌프장,경기도,광주시,경기도 광주시 수하길 52,,37.4147713863,127.2655111229,,2000,침수예방,2024-08-14,5540000,경기도 광주시
양벌1배수펌프장,경기도,광주시,,경기도 광주시 양벌동 83,37.3908341,127.2524772,,2003,침수예방,2024-08-14,5540000,경기도 광주시
양벌2배수펌프장,경기도,광주시,,경기도 광주시 양벌동 426-25,37.3809333412,127.2479196107,,2003,침수예방,2024-08-14,5540000,경기도 광주시
역동배수펌프장,경기도,광주시,,경기도 광주시 역동 208-1,37.3932313546,127.2504734138,,2007,침수예방,2024-08-14,5540000,경기도 광주시
지월배수펌프장,경기도,광주시,경기도 광주시 초월읍 경수길37번길 52-30,,37.4251137693,127.2901683915,,2012,침수예방,2024-08-14,5540000,경기도 광주시
곤지암2배수펌프장,경기도,광주시,경기도 광주시 곤지암읍 광여로4번길 34,,37.3478283661,127.3514130924,,2017,침수예방,2024-08-14,5540000,경기도 광주시
매산배수펌프장,경기도,광주시,,경기도 광주시 매산동 678-13,37.3580955797,127.240021,,2016,침수예방,2024-08-14,5540000,경기도 광주시
양정펌프장,전라남도,구례군,전라남도 구례군 구례읍 양정1길 120-7,전라남도 구례군 구례읍 봉서리 9-45,35.2040584423,127.4824589312,061-780-8161,2013,침수피해 방지,2024-08-12,4870000,전라남도 구례군
죽연펌프장,전라남도,구례군,,전라남도 구례군 문척면 죽마리 367-3,35.1952298917,127.4750495,061-780-8162,2024,침수피해 방지,2024-08-12,4870000,전라남도 구례군
구성펌프장,전라남도,구례군,,전라남도 구례군 문척면 월전리 1548-2,35.1986577578,127.4816793865,061-780-8163,2024,침수피해 방지,2024-08-12,4870000,전라남도 구례군
월평펌프장,전라남도,구례군,,전라남도 구례군 문척면 문척면 월전리 1538-2,35.1931474,127.4967224,061-780-8164,2024,침수피해 방지,2024-08-12,4870000,전라남도 구례군
냉천펌프장,전라남도,구례군,,전라남도 구례군 마산면 냉천리 250,35.2093791952,127.4821343,061-780-8165,2024,침수피해 방지,2024-08-12,4870000,전라남도 구례군
사도펌프장,전라남도,구례군,,전라남도 구례군 마산면 사도리 890-10,35.2052328414,127.4914499411,061-780-8166,2024,침수피해 방지,2024-08-12,4870000,전라남도 구례군
안촌펌프장,전라남도,구례군,,전라남도 구례군 토지면 금내리 993-4,35.1933541704,127.5106224718,061-780-8167,2024,침수피해 방지,2024-08-12,4870000,전라남도 구례군
봉소펌프장,전라남도,구례군,,전라남도 구례군 토지면 파도리 974,35.1884182406,127.5297629077,061-780-8168,2024,침수피해 방지,2024-08-12,4870000,전라남도 구례군
감전천배수장,부산광역시,사상구,부산광역시 사상구 낙동대로1016번길 60,,35.1499988,128.9755725,051-310-3277,2012,범람및침수방지,2024-08-13,3390000,부산광역시 사상구
감전1배수장,부산광역시,사상구,부산광역시 사상구 낙동대로 1097,,35.1579708,128.9740104,051-310-3282,1986,범람및침수방지,2024-08-13,3390000,부산광역시 사상구
